+-------+-----------+---------------------+------+-------+----------+------------+-----------+
| JobId | Name      | StartTime           | Type | Level | JobFiles | JobBytes   | JobStatus |
+-------+-----------+---------------------+------+-------+----------+------------+-----------+
|     1 | etcClient | 2019-10-12 23:45:13 | B    | F     |    2,397 | 10,365,031 | T         |
|     2 | etcClient | 2019-10-12 23:55:03 | B    | I     |        0 |          0 | T         |
|     3 | etcClient | 2019-10-13 00:01:03 | B    | D     |        0 |          0 | T         |
|     4 | etcClient | 2019-10-13 00:05:03 | B    | I     |        0 |          0 | T         |
|     5 | etcClient | 2019-10-13 00:15:03 | B    | I     |        0 |          0 | T         |
|     6 | etcClient | 2019-10-13 00:25:03 | B    | I     |        0 |          0 | T         |
|     7 | etcClient | 2019-10-13 00:31:03 | B    | D     |        0 |          0 | T         |
|     8 | etcClient | 2019-10-13 00:35:03 | B    | I     |        0 |          0 | T         |
|     9 | etcClient | 2019-10-13 00:45:03 | B    | I     |        0 |          0 | T         |
|    10 | etcClient | 2019-10-13 00:55:02 | B    | I     |       54 |     64,812 | T         |
|    11 | etcClient | 2019-10-13 01:01:02 | B    | D     |       54 |     64,812 | T         |
|    12 | etcClient | 2019-10-13 01:05:02 | B    | I     |        0 |          0 | T         |
|    13 | etcClient | 2019-10-13 01:15:02 | B    | I     |        0 |          0 | T         |
|    14 | etcClient | 2019-10-13 01:25:02 | B    | I     |        0 |          0 | T         |
|    15 | etcClient | 2019-10-13 01:31:02 | B    | D     |       54 |     64,812 | T         |
|    16 | etcClient | 2019-10-13 01:35:02 | B    | I     |        0 |          0 | T         |
|    17 | etcClient | 2019-10-13 01:45:03 | B    | I     |        0 |          0 | T         |
|    18 | etcClient | 2019-10-13 01:55:03 | B    | I     |        0 |          0 | T         |
|    19 | etcClient | 2019-10-13 02:01:02 | B    | D     |       54 |     64,812 | T         |
|    20 | etcClient | 2019-10-13 02:05:02 | B    | I     |        0 |          0 | T         |
|    21 | etcClient | 2019-10-13 02:15:02 | B    | I     |        0 |          0 | T         |
|    22 | etcClient | 2019-10-13 02:25:02 | B    | I     |        0 |          0 | T         |
|    23 | etcClient | 2019-10-13 02:31:02 | B    | D     |       54 |     64,812 | T         |
|    24 | etcClient | 2019-10-13 02:35:02 | B    | I     |        0 |          0 | T         |
|    25 | etcClient | 2019-10-13 02:45:02 | B    | I     |        0 |          0 | T         |
+-------+-----------+---------------------+------+-------+----------+------------+-----------+
